"original_name","unique_id"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;","Seq_87"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;","Seq_88"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Silicimonas;","Seq_89"
"Bacteria;Pseudomonadota;Alphaproteobacteria;","Seq_90"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;","Seq_91"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Aminobacter;","Seq_92"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;","Seq_93"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Azospirillales;Azospirillaceae;Azospirillum;","Seq_94"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;","Seq_95"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Geminicoccus;","Seq_96"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Clade I;","Seq_97"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Bradyrhizobium;","Seq_98"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;","Seq_99"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Mesorhizobium;","Seq_100"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae;","Seq_101"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Pararhizobium;","Seq_102"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Candidatus Hodgkinia;","Seq_103"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;","Seq_104"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Brucella;","Seq_105"
"Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;","Seq_106"
"Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;","Seq_107"
"Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;","Seq_108"
"Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;","Seq_109"
"Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;","Seq_110"
"Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;","Seq_111"
"Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium;","Seq_112"
"Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;","Seq_113"
"Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;","Seq_114"
"Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;","Seq_115"
"Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;","Seq_116"
"Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea;","Seq_117"
"Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea;","Seq_118"
"Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Nocardiaceae;Rhodococcus;","Seq_119"
"Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Nocardiaceae;Gordonia;","Seq_120"
"Bacteria;Actinomycetota;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;","Seq_121"
"Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;","Seq_122"
"Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;","Seq_123"
"Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;","Seq_124"
"Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Arachnia;","Seq_125"
"Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;","Seq_126"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_127"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_128"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_129"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Coleofasciculaceae;Coleofasciculus PCC-7420;","Seq_130"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_131"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_132"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Rubidibacteraceae;Dactylococcopsis PCC-8305;","Seq_133"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Limnotrichales;Limnotrichaceae;Limnothrix;","Seq_134"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_135"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Rubidibacteraceae;Dactylococcopsis PCC-8305;","Seq_136"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_137"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_138"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_139"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Coleofasciculaceae;Coleofasciculus PCC-7420;","Seq_140"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104;","Seq_141"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_142"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Fischerella PCC-9339;","Seq_143"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_144"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_145"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;","Seq_146"
"Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Desmonostoc PCC-7422;","Seq_147"
"Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;","Seq_148"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Aggregatilineaceae;Aggregatilinea;","Seq_149"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;","Seq_150"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;","Seq_151"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;","Seq_152"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;","Seq_153"
"Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;","Seq_154"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;","Seq_155"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;","Seq_156"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;","Seq_157"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;","Seq_158"
"Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;","Seq_159"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;","Seq_160"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;","Seq_161"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;","Seq_162"
"Bacteria;Chloroflexota;Anaerolineae;Caldilineales;Caldilineaceae;","Seq_163"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;","Seq_164"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;","Seq_165"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Thermomarinilinea;","Seq_166"
"Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;","Seq_167"
"Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;","Seq_168"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;","Seq_169"
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera;","Seq_170"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;","Seq_171"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;","Seq_172"
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;","Seq_173"
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera;","Seq_174"
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;","Seq_175"
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;","Seq_176"
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Singulisphaera;","Seq_177"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;","Seq_178"
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;","Seq_179"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;","Seq_180"
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;","Seq_181"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;","Seq_182"
